PLAYER_NAME,SEASON,PLAYER_ID,PERFORMANCE_SCORE,PREDICTED_ARCHETYPE,CURRENT_USAGE,prediction_success,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,dependence_success,RISK_CATEGORY,RISK_CATEGORY_DETAILED,AVG_OPPONENT_DCS,MEAN_OPPONENT_DCS,opponent_adjustment,PERFORMANCE_SCORE_ADJUSTED
A.J. Lawson,2022-23,1630639,0.027805306,Sniper (Resilient Role),0.1889999999999999,True,0.5743750000000001,0.8625,,0.0825,True,Avoid,"Depth (Low Performance 2.8%, Low Dependence 57.4%)",,,-0.1,0.0
A.J. Lawson,2023-24,1630639,0.004961973,Sniper (Resilient Role),0.18,True,0.5680113636363637,0.8318181818181818,,0.0588636363636363,True,Avoid,"Depth (Low Performance 0.5%, Low Dependence 56.8%)",,,-0.1,0.0
A.J. Lawson,2024-25,1630639,0.006683574,Sniper (Resilient Role),0.1889999999999999,True,0.5311965811965812,0.8472222222222222,,0.2307692307692307,True,Avoid,"Depth (Low Performance 0.7%, Low Dependence 53.1%)",,,-0.1,0.0
AJ Green,2022-23,1631260,0.004227136,Sniper (Resilient Role),0.159,True,0.5743986254295533,0.8625429553264605,,0.0824742268041237,True,Avoid,"Depth (Low Performance 0.4%, Low Dependence 57.4%)",,,-0.1,0.0
AJ Green,2023-24,1631260,0.0071628317,Sniper (Resilient Role),0.15,True,0.5731822971548999,0.9041095890410958,,0.1538461538461538,True,Avoid,"Depth (Low Performance 0.7%, Low Dependence 57.3%)",,,-0.1,0.0
AJ Green,2024-25,1631260,0.002428739,Sniper (Resilient Role),0.123,True,0.5800665412990019,0.8856502242152466,,0.0967741935483871,True,Avoid,"Depth (Low Performance 0.2%, Low Dependence 58.0%)",39.57848531093954,39.54468786580969,0.027107573445302294,0.029536312445302294
AJ Griffin,2022-23,1631100,0.0051226616,Sniper (Resilient Role),0.174,True,0.4575238095238095,0.6438095238095238,,0.2,True,Avoid,"Depth (Low Performance 0.5%, Low Dependence 45.8%)",,,-0.1,0.0
AJ Griffin,2023-24,1631100,0.0034922985,Sniper (Resilient Role),0.1669999999999999,True,0.4616477272727273,0.6136363636363636,,0.1352272727272727,True,Avoid,"Depth (Low Performance 0.3%, Low Dependence 46.2%)",,,-0.1,0.0
AJ Hammons,2016-17,1627773,0.0060782107,Sniper (Resilient Role),0.165,True,0.6316666666666667,0.9666666666666668,,0.02,True,Avoid,"Avoid (Low Performance 0.6%, High Dependence 63.2%)",,,-0.1,0.0
AJ Johnson,2024-25,1642358,0.006780185,Sniper (Resilient Role),0.1729999999999999,True,0.1782244556113903,0.4455611390284757,,1.0,True,Depth,"Depth (Low Performance 0.7%, Low Dependence 17.8%)",,,-0.1,0.0
