PLAYER_ID,PLAYER_NAME,SEASON,RS_PRESSURE_APPETITE,RS_PRESSURE_RESILIENCE,RS_PRESSURE_RESILIENCE_BROAD,RS_TOTAL_VOLUME,RS_GP,RS_OPEN_SHOT_FREQUENCY,PO_PRESSURE_APPETITE,PO_PRESSURE_RESILIENCE,PO_PRESSURE_RESILIENCE_BROAD,PO_TOTAL_VOLUME,PO_GP,PO_OPEN_SHOT_FREQUENCY,PRESSURE_APPETITE_DELTA,PRESSURE_RESILIENCE_DELTA,RS_LATE_CLOCK_PRESSURE_APPETITE,RS_EARLY_CLOCK_PRESSURE_APPETITE,RS_LATE_CLOCK_PRESSURE_RESILIENCE,RS_EARLY_CLOCK_PRESSURE_RESILIENCE,PO_LATE_CLOCK_PRESSURE_APPETITE,PO_EARLY_CLOCK_PRESSURE_APPETITE,PO_LATE_CLOCK_PRESSURE_RESILIENCE,PO_EARLY_CLOCK_PRESSURE_RESILIENCE,LATE_CLOCK_PRESSURE_APPETITE_DELTA,EARLY_CLOCK_PRESSURE_APPETITE_DELTA,LATE_CLOCK_PRESSURE_RESILIENCE_DELTA,EARLY_CLOCK_PRESSURE_RESILIENCE_DELTA
2544,LeBron James,2020-21,0.40814019219898257,0.589,0.5906565096952908,796.05,45,0.15602035048049748,0.4473684210526316,0.4,0.6177564705882354,114.0,6.0,0.17526315789473684,0.039228228853649016,-0.18899999999999995,0.38325991189427316,0.616740088105727,0.4873103448275863,0.7149071428571429,0.4382022471910112,0.5617977528089888,0.711965811965812,0.8316933333333334,0.05494233529673803,-0.0549423352967382,0.2246554671382257,0.11678619047619054
2546,Carmelo Anthony,2020-21,0.5159857904085257,0.417,0.45365060240963856,776.94,69,0.15186500888099463,0.35,0.0,0.5946428571428571,60.0,6.0,0.25,-0.16598579040852568,-0.417,0.648,0.352,0.4277777777777778,0.6902045454545455,0.6633663366336634,0.33663366336633666,,,0.01536633663366338,-0.015366336633663324,,
2617,Udonis Haslem,2020-21,0.0,0.0,0.0,2.0,1,0.0,,,,,,,,,,,,,,,,,,,,
2730,Dwight Howard,2020-21,0.8223234624145787,0.615,0.6062853185595568,302.90999999999997,69,0.09567198177676538,0.868,0.167,0.5387096774193548,30.0,12.0,0.0,0.04567653758542134,-0.44799999999999995,0.660377358490566,0.33962264150943394,0.5828571428571429,0.5,0.33333333333333337,0.6666666666666667,,,-0.32704402515723263,0.3270440251572328,,
2760,Anderson Varejao,2020-21,0.5624999999999999,0.0,0.22200000000000003,16.0,5,0.25,,,,,,,,,1.0,0.0,,,,,,,,,,
101108,Chris Paul,2020-21,0.2976669348350764,0.333,0.49984054054054056,870.1,70,0.1584875301689461,0.35666666666666663,0.167,0.47188785046728976,300.0,20.0,0.18333333333333332,0.05899973183159024,-0.166,0.41860465116279066,0.5813953488372093,0.44,0.55536,0.7727272727272726,0.22727272727272727,0.5,0.2,0.35412262156448193,-0.35412262156448204,0.06,-0.35535999999999995
101150,Lou Williams,2020-21,0.4357142857142857,0.343,0.4200772833723654,646.8000000000001,66,0.16836734693877548,0.45499181669394434,0.667,0.41069424460431664,109.97999999999999,18.0,0.15384615384615385,0.01927753097965862,0.324,0.39999999999999997,0.6,0.45921052631578946,0.5523684210526315,0.425,0.575,,,0.025000000000000022,-0.025000000000000022,,
200746,LaMarcus Aldridge,2020-21,0.37840210711150135,0.538,0.42838515081206496,296.14,26,0.31431079894644426,,,,,,,,,0.7297297297297298,0.2702702702702703,0.28633333333333333,0.3998,,,,,,,,
200752,Rudy Gay,2020-21,0.43329989969909727,0.5,0.4190555555555555,628.11,63,0.21464393179538616,,,,,,,,,0.6538461538461539,0.34615384615384615,0.40723529411764714,0.6184444444444445,,,,,,,,
200755,JJ Redick,2020-21,0.4266886326194399,0.714,0.4081389961389961,267.08000000000004,44,0.20593080724876442,,,,,,,,,0.43396226415094336,0.5660377358490566,0.40217391304347827,0.35250000000000004,,,,,,,,
200765,Rajon Rondo,2020-21,0.4748953974895398,0.333,0.480488986784141,215.09999999999997,45,0.36192468619246865,0.37837837837837834,0.0,0.2499935064935065,52.910000000000004,13.0,0.33906633906633904,-0.09651701911116145,-0.333,0.35714285714285715,0.6428571428571428,0.5568,0.49813888888888885,0.5897435897435898,0.41025641025641024,,,0.2326007326007326,-0.23260073260073255,,
200768,Kyle Lowry,2020-21,0.39429012345679015,0.464,0.46576125244618394,596.16,46,0.21990740740740744,,,,,,,,,0.2411347517730496,0.7588652482269503,0.3111764705882353,0.5417663551401869,,,,,,,,
200782,P.J. Tucker,2020-21,0.27710843373493976,0.222,0.43803260869565214,172.64000000000001,52,0.5903614457831324,0.33647058823529413,0.667,0.515,97.75,23.0,0.5105882352941177,0.05936215450035437,0.44500000000000006,0.4444444444444445,0.5555555555555556,,0.19999999999999998,0.5909090909090909,0.40909090909090906,,,0.14646464646464646,-0.14646464646464652,,
200794,Paul Millsap,2020-21,0.5233380480905233,0.514,0.5529972972972973,395.92,56,0.27015558698727016,0.3801801801801802,0.5,0.6321753554502371,49.949999999999996,9.0,0.2,-0.14315786791034313,-0.014000000000000012,0.4936708860759494,0.5063291139240506,0.5902820512820514,0.682225,0.39999999999999997,0.6,,,-0.09367088607594942,0.09367088607594942,,
201142,Kevin Durant,2020-21,0.5937318630295996,0.7,0.6102932551319648,603.0500000000001,35,0.05281485780615206,0.7340425531914894,0.4,0.5317101449275363,282.0,12.0,0.04978723404255319,0.1403106901618898,-0.29999999999999993,0.3073770491803278,0.6926229508196721,0.48068,0.6442781065088757,0.5833333333333334,0.4166666666666667,0.5487142857142857,0.46554399999999996,0.27595628415300555,-0.2759562841530054,0.06803428571428571,-0.17873410650887578
201143,Al Horford,2020-21,0.35303265940902023,0.5,0.5516123348017622,360.08,28,0.3499222395023328,,,,,,,,,0.6329113924050632,0.36708860759493667,0.714,0.6301724137931035,,,,,,,,
201144,Mike Conley,2020-21,0.3605115907274181,0.286,0.4325321507760532,638.0099999999999,51,0.275779376498801,0.4263018534863195,0.0,0.39668737060041404,67.98,6.0,0.22065313327449249,0.06579026275890137,-0.286,0.3837209302325581,0.6162790697674418,0.47206060606060607,0.46333962264150935,0.8316831683168318,0.16831683168316833,0.3988095238095238,,0.44796223808427366,-0.4479622380842735,-0.07325108225108229,
201145,Jeff Green,2020-21,0.41538461538461535,0.522,0.5452716049382718,530.4,68,0.32051282051282054,0.33272727272727276,0.0,0.09098360655737706,33.0,6.0,0.45454545454545453,-0.08265734265734259,-0.522,0.3232323232323232,0.6767676767676768,0.546875,0.6534328358208956,0.0,1.0,,,-0.3232323232323232,0.3232323232323232,,
201152,Thaddeus Young,2020-21,0.8338461538461539,0.583,0.5789286592865928,663.0,68,0.06769230769230769,,,,,,,,,0.5793103448275863,0.4206896551724138,0.5783333333333335,0.5606229508196722,,,,,,,,
201162,Jared Dudley,2020-21,0.3333333333333333,0.0,1.0,9.0,12,0.44,,,,,,,,,,,,,,,,,,,,
201229,Anthony Tolliver,2020-21,0.35064935064935066,0.0,0.0,16.94,11,0.17532467532467533,,,,,,,,,1.0,0.0,,,,,,,,,,
201565,Derrick Rose,2020-21,0.5844370860927152,0.512,0.4689688385269121,604.0000000000001,50,0.06788079470198674,0.6547619047619048,0.4,0.5178181818181818,84.0,5.0,0.07142857142857142,0.0703248186691896,-0.11199999999999999,0.48611111111111116,0.513888888888889,0.4286285714285714,0.5407567567567568,0.2727272727272727,0.7272727272727273,,0.625,-0.21338383838383845,0.21338383838383834,,0.08424324324324317
201566,Russell Westbrook,2020-21,0.4684873949579832,0.436,0.5078822869955157,1237.6,65,0.16649159663865545,0.42857142857142855,0.4,0.30527777777777776,84.0,5.0,0.25,-0.03991596638655465,-0.035999999999999976,0.19661016949152543,0.8033898305084746,0.4997241379310345,0.5916160337552743,0.18181818181818182,0.8181818181818181,,0.5555555555555556,-0.01479198767334361,0.014791987673343554,,-0.03606047819971869
201567,Kevin Love,2020-21,0.3492063492063492,0.318,0.40900000000000003,252.0,25,0.24603174603174602,,,,,,,,,0.8571428571428572,0.14285714285714288,0.333,,,,,,,,,
