player_id,season,player_name,MICRO_STRESS_FGA,MICRO_STRESS_FG_PCT,MICRO_STRESS_PTS_PER_FGA,PLAN_A_EFFICIENCY,PLAN_B_EFFICIENCY,PLAN_B_EFFICIENCY_DELTA,PLAN_A_VOLUME,PLAN_B_VOLUME
708,2015-16,Kevin Garnett,0.77,0.21642857142857144,0.4415584415584415,,,,,
977,2015-16,Kobe Bryant,3.13,0.2550769230769231,0.49520766773162933,0.31305449936628643,0.4660493827160494,0.15299488334976297,789.0,324.0
1495,2015-16,Tim Duncan,0.61,0.30442857142857144,0.6557377049180328,0.5444743935309974,0.28688524590163933,-0.25758914762935803,371.0,122.0
1713,2015-16,Vince Carter,0.51,0.6018333333333333,1.0,,,,,
1713,2016-17,Vince Carter,0.58,0.27855555555555556,0.7758620689655175,0.42016806722689076,0.36,-0.060168067226890776,357.0,175.0
1717,2015-16,Dirk Nowitzki,3.89,0.4020909090909091,0.9023136246786632,0.42735949098621423,0.5396825396825397,0.11232304869632542,943.0,252.0
1717,2016-17,Dirk Nowitzki,1.83,0.3039,0.73224043715847,0.42010771992818674,0.512396694214876,0.09228897428668925,557.0,121.0
1717,2017-18,Dirk Nowitzki,0.9500000000000001,0.517,0.9368421052631579,0.43538461538461537,0.5833333333333334,0.147948717948718,650.0,108.0
1717,2018-19,Dirk Nowitzki,0.86,0.4311111111111111,0.7674418604651162,,,,,
1718,2015-16,Paul Pierce,1.19,0.5051666666666667,1.050420168067227,,,,,
1889,2015-16,Andre Miller,0.63,0.2986,0.5396825396825397,,,,,
1891,2015-16,Jason Terry,0.9199999999999999,0.2702,0.7282608695652175,,,,,
1891,2016-17,Jason Terry,0.63,0.44166666666666665,1.253968253968254,,,,,
1897,2015-16,Metta World Peace,0.55,0.1822,1.090909090909091,,,,,
1938,2015-16,Manu Ginobili,1.08,0.3321,0.8611111111111112,,,,,
1938,2016-17,Manu Ginobili,0.87,0.09770000000000001,0.6666666666666667,,,,,
1938,2017-18,Manu Ginobili,1.07,0.24066666666666667,0.7009345794392523,0.4748427672955975,0.35714285714285715,-0.11769991015274034,318.0,182.0
2037,2015-16,Jamal Crawford,3.21,0.4165384615384615,0.8785046728971964,0.3574730354391371,0.4732824427480916,0.1158094073089545,649.0,393.0
2037,2016-17,Jamal Crawford,2.45,0.40923076923076923,0.9428571428571426,0.39807383627608345,0.44242424242424244,0.044350406148158994,623.0,330.0
2037,2017-18,Jamal Crawford,1.86,0.37753846153846154,0.7419354838709676,0.3881932021466905,0.48695652173913045,0.09876331959243995,559.0,230.0
2037,2018-19,Jamal Crawford,1.69,0.3765384615384615,0.727810650887574,,,,,
2199,2015-16,,,,,0.607773851590106,0.3548387096774194,-0.2529351419126866,283.0,31.0
2200,2015-16,Pau Gasol,1.35,0.1889,0.7555555555555555,0.5,0.37551020408163266,-0.12448979591836734,750.0,245.0
2200,2016-17,Pau Gasol,0.83,0.5902000000000001,1.096385542168675,0.5127020785219399,0.45964912280701753,-0.05305295571492241,433.0,285.0
2200,2017-18,Pau Gasol,0.59,0.3085555555555556,0.7457627118644068,0.5348837209302325,0.34615384615384615,-0.18872987477638636,387.0,260.0
2207,2015-16,Joe Johnson,2.22,0.3043076923076923,0.7927927927927927,0.45161290322580644,0.420479302832244,-0.031133600393562444,558.0,459.0
2207,2016-17,Joe Johnson,1.81,0.3690833333333334,0.7955801104972375,0.43556701030927836,0.4366576819407008,0.0010906716314224574,388.0,371.0
