PLAYER_ID,PLAYER_NAME,SEASON,AGE,RS_USG_PCT,CURRENT_ARCHETYPE,CURRENT_STAR_LEVEL,CURRENT_KING_PROB,CURRENT_BULLDOZER_PROB,CURRENT_SNIPER_PROB,CURRENT_VICTIM_PROB,AT_25_USG_ARCHETYPE,AT_25_USG_STAR_LEVEL,AT_25_USG_KING_PROB,AT_25_USG_BULLDOZER_PROB,AT_25_USG_SNIPER_PROB,AT_25_USG_VICTIM_PROB,AT_30_USG_ARCHETYPE,AT_30_USG_STAR_LEVEL,AT_30_USG_KING_PROB,AT_30_USG_BULLDOZER_PROB,AT_30_USG_SNIPER_PROB,AT_30_USG_VICTIM_PROB,CREATION_VOLUME_RATIO,CREATION_TAX,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,RS_PRESSURE_APPETITE,RS_PRESSURE_RESILIENCE,RIM_PRESSURE_RESILIENCE,RS_RIM_APPETITE,EFG_ISO_WEIGHTED,EFG_PCT_0_DRIBBLE,PERFORMANCE_SCORE,DEPENDENCE_SCORE,RISK_CATEGORY,RANK,SALARY_MILLIONS,VALUE_SCORE,ALPHA_SCORE,ALPHA_CATEGORY
1628983,Shai Gilgeous-Alexander,2018-19,20.0,0.182,Sniper (Resilient Role),0.0967585369944572,0.09566788,0.0010906574,0.77476984,0.12847166,King (Resilient Star),0.9805505275726318,0.9575465,0.023004027,0.0010176967,0.018431773,King (Resilient Star),0.9759212136268616,0.79171234,0.18420886,0.0011226565,0.022956124,0.7429420505200593,-0.0814399999999999,-0.037,0.0399999999999999,0.5022883295194509,0.509,0.8294736842105263,0.3616751269035533,0.50356,0.585,0.0967585369944572,0.3582962995705557,Depth (Moderate Dependence),1,38.33305,5.805512219667432,-70.86058778033257,Overvalued
1629028,Deandre Ayton,2021-22,23.0,0.217,King (Resilient Star),0.9297292232513428,0.9127354,0.01699384,0.01829504,0.051975723,King (Resilient Star),0.9737740755081176,0.752796,0.22097808,0.0018999766,0.024326012,Bulldozer (Fragile Star),0.980612814426422,0.38079643,0.5998164,0.0018059958,0.017581195,0.024364406779661,0.1057391304347825,-0.0799999999999999,0.1699999999999999,0.6870292887029289,0.655,0.9547101449275364,0.3959827833572453,0.7717391304347826,0.666,0.9297292232513428,0.6609091997021488,Luxury Component,2,43.654814,92.97292232513428,5.663294325134274,Slightly Undervalued
1629028,Deandre Ayton,2021-22,23.0,0.217,King (Resilient Star),0.9297292232513428,0.9127354,0.01699384,0.01829504,0.051975723,King (Resilient Star),0.9737740755081176,0.752796,0.22097808,0.0018999766,0.024326012,Bulldozer (Fragile Star),0.980612814426422,0.38079643,0.5998164,0.0018059958,0.017581195,0.024364406779661,0.1057391304347825,-0.0799999999999999,0.1699999999999999,0.6870292887029289,0.655,0.9547101449275364,0.3959827833572453,0.7717391304347826,0.666,0.9297292232513428,0.6609091997021488,Luxury Component,2,43.654814,92.97292232513428,5.663294325134274,Slightly Undervalued
1628401,Derrick White,2018-19,24.0,0.178,King (Resilient Star),0.6302144527435303,0.628937,0.001277439,0.25182518,0.11796038,King (Resilient Star),0.972143292427063,0.8379487,0.13419463,0.0020403196,0.025816401,King (Resilient Star),0.9965027570724488,0.96126544,0.0352373,0.0006660904,0.0028311217,0.6570945945945945,-0.0285424164524421,0.06,0.1089999999999999,0.508034610630408,0.486,1.3657458563535911,0.2928802588996764,0.5114575835475579,0.54,0.6302144527435303,0.4270087831573848,"Moderate Performance, Moderate Dependence",3,28.1,63.02144527435303,6.8214452743530245,Slightly Undervalued
203457,Nerlens Noel,2016-17,23.0,0.171,Victim (Fragile Role),0.1584948450326919,0.1325626,0.025932252,0.13580151,0.7057036,Bulldozer (Fragile Star),0.964734673500061,0.36868384,0.59605086,0.0031405988,0.03212472,Bulldozer (Fragile Star),0.9858355522155762,0.20867123,0.77716434,0.0026766397,0.01148777,0.0424628450106157,0.091,0.0029999999999999,0.151,0.6456953642384106,0.645,,0.6601941747572816,0.7000000000000001,0.609,0.1584948450326919,0.6689467597474726,Avoid,4,,4.754845350980757,,No Salary Data
1627767,Cheick Diallo,2018-19,22.0,0.155,Victim (Fragile Role),0.2053249776363372,0.16037464,0.044950336,0.28531438,0.5093606,Bulldozer (Fragile Star),0.9581722021102904,0.43730733,0.52086484,0.004753028,0.03707477,Bulldozer (Fragile Star),0.9855654835700988,0.22081709,0.7647484,0.0033036214,0.011130876,0.017391304347826,0.376,0.009,0.1069999999999999,0.6217494089834515,0.643,,0.528125,1.0,0.624,0.2053249776363372,0.6743591324904924,Avoid,5,,6.159749329090116,,No Salary Data
1628973,Jalen Brunson,2020-21,24.0,0.196,King (Resilient Star),0.4555524289608001,0.44653913,0.009013285,0.1163266,0.42812097,King (Resilient Star),0.95661199092865,0.9317336,0.024878355,0.0011487299,0.04223936,King (Resilient Star),0.9944676756858826,0.66378736,0.3306803,0.0013435619,0.004188808,0.692,-0.0795761078998072,0.0289999999999999,-0.0599999999999999,0.4913232104121476,0.661,1.0363636363636364,0.2631578947368421,0.5764238921001927,0.656,0.4555524289608001,0.3931272234273319,"Moderate Performance, Moderate Dependence",6,34.944001,45.55524289608001,-24.33275910391999,Overvalued
1631109,Mark Williams,2022-23,21.0,0.168,Victim (Fragile Role),0.1156768575310707,0.09577124,0.019905617,0.18682183,0.6975013,Bulldozer (Fragile Star),0.9514247179031372,0.4510357,0.500389,0.00410279,0.044472545,Bulldozer (Fragile Star),0.9847033619880676,0.22019553,0.76450783,0.0027570878,0.012539565,0.0328638497652582,0.0,0.002,0.2209999999999999,0.8356164383561643,0.529,,0.7157894736842105,0.667,0.667,0.1156768575310707,0.6433118689304779,Avoid,7,6.276531,3.470305725932121,-9.08275627406788,Slightly Overvalued
1628386,Jarrett Allen,2021-22,24.0,0.177,Victim (Fragile Role),0.1414605528116226,0.11873652,0.022724027,0.06945804,0.78908145,King (Resilient Star),0.9513345956802368,0.54181963,0.40951496,0.0030798274,0.045585535,Bulldozer (Fragile Star),0.9774407148361206,0.30963942,0.66780126,0.00304533,0.019513987,0.0162962962962962,-0.0369999999999999,-0.0239999999999999,0.147,0.7989690721649484,0.624,,0.6880733944954128,0.667,0.704,0.1414605528116226,0.6637689957999237,Avoid,8,20.0,4.243816584348678,-35.75618341565132,Overvalued
1627783,Pascal Siakam,2018-19,25.0,0.205,King (Resilient Star),0.5364504456520081,0.52856684,0.007883588,0.04166962,0.42187998,King (Resilient Star),0.9498867988586426,0.5750055,0.37488136,0.002611218,0.047502,Bulldozer (Fragile Star),0.9683069586753844,0.2868026,0.68150437,0.0034136656,0.028279336,0.4626696832579185,-0.130437652811736,-0.0679999999999999,0.119,0.631891433418151,0.552,0.8224543080939948,0.4825396825396825,0.516562347188264,0.647,0.5364504456520081,0.5001482749588385,"Moderate Performance, High Dependence",9,45.550512,53.645044565200806,-37.45597943479919,Overvalued
