PLAYER_ID,PLAYER_NAME,SEASON,RIM_PRESSURE_DEFICIT,ABDICATION_MAGNITUDE,INEFFICIENT_VOLUME_SCORE,SYSTEM_DEPENDENCE_SCORE,EMPTY_CALORIES_RISK,PORTABLE_USG_PCT,PORTABLE_CREATION_VOLUME,ASSISTED_FGM_PCT,ABDICATION_RISK,PHYSICALITY_FLOOR,SELF_CREATED_FREQ,DATA_COMPLETENESS_SCORE,SAMPLE_SIZE_CONFIDENCE,LEVERAGE_DATA_CONFIDENCE,NEGATIVE_SIGNAL_COUNT
202691,Klay Thompson,2015-16,0.0,0.65,0.029577710386656526,0.26,0.0,0.26,0.16678316906747534,0.8036391205458681,0.065,0.2005772005772005,0.1439393939393939,1.0,1.0,1.0,2
203076,Anthony Davis,2015-16,0.0,0.0,0.02448576358930109,0.29,0.0,0.29,0.0945823986194995,0.8809318377911993,0.0329999999999999,0.3160211267605634,0.1517857142857142,1.0,1.0,1.0,1
201143,Al Horford,2015-16,0.0,0.12999999999999998,0.012112947658402191,0.20200000000000004,0.0,0.20200000000000004,0.050329660238751114,0.9375573921028466,0.013,0.3196564885496183,0.056338028169014,1.0,1.0,1.0,1
1717,Dirk Nowitzki,2015-16,0.5364533115775424,0.0,0.0,0.249,0.13357687458280806,0.249,0.091491308325709,0.9085086916742908,0.0,0.0809352517985611,0.0952380952380952,1.0,1.0,1.0,0
202326,DeMarcus Cousins,2015-16,0.0,0.0,0.019529976019184644,0.3469576642335766,0.0,0.3509999999999999,0.20269224620303758,0.7777777777777778,0.0,0.4421921921921922,0.2280701754385965,1.0,1.0,1.0,0
201586,Serge Ibaka,2015-16,0.0,0.0,0.0031068859198355447,0.174,0.0,0.174,0.012309352517985553,0.9845837615621787,0.0639999999999999,0.2163406214039125,0.0327868852459016,1.0,1.0,1.0,2
202696,Nikola Vučević,2015-16,0.0,0.29,0.008796747967479668,0.265,0.0,0.265,0.13483468834688342,0.8563685636856369,0.029,0.2648183556405353,0.1710526315789473,1.0,1.0,1.0,0
201572,Brook Lopez,2015-16,0.0,0.34,0.009221246707638275,0.261888337492349,0.0,0.272,0.16549341527655834,0.8252853380158034,0.034,0.3621434745030251,0.1341463414634146,1.0,1.0,1.0,0
2547,Chris Bosh,2015-16,0.0,0.0,0.007031434184675832,0.247,0.0,0.247,0.09021807465618857,0.9027504911591356,0.0,0.2216427640156453,0.2528735632183907,1.0,1.0,1.0,0
201933,Blake Griffin,2015-16,0.0,0.06999999999999999,0.0005896084337349103,0.289,0.0,0.289,0.308898343373494,0.6905120481927711,0.007,0.3399668325041459,0.27,1.0,1.0,1.0,0
2200,Pau Gasol,2015-16,0.0,0.22999999999999898,0.015648165569143935,0.244,0.0,0.244,0.14709877704609586,0.8372530573847601,0.0229999999999999,0.2723618090452261,0.1290322580645161,1.0,1.0,1.0,0
1626157,Karl-Anthony Towns,2015-16,0.0,0.579999999999999,0.006777076761303878,0.243,0.0,0.243,0.08155099894847521,0.9116719242902208,0.0579999999999999,0.3816131830008673,0.1265822784810126,1.0,1.0,1.0,1
204001,Kristaps Porziņģis,2015-16,0.0,0.35999999999999993,0.0035884907709011933,0.243,0.0,0.243,0.08544516829533111,0.9109663409337676,0.036,0.237020316027088,0.1499999999999999,1.0,1.0,1.0,0
