PLAYER_ID,PLAYER_NAME,SEASON,CREATION_VOLUME_RATIO_YOY_DELTA,CREATION_TAX_YOY_DELTA,LEVERAGE_USG_DELTA_YOY_DELTA,LEVERAGE_TS_DELTA_YOY_DELTA,RS_PRESSURE_RESILIENCE_YOY_DELTA,RS_PRESSURE_APPETITE_YOY_DELTA,RS_RIM_APPETITE_YOY_DELTA,EFG_ISO_WEIGHTED_YOY_DELTA,RS_LATE_CLOCK_PRESSURE_RESILIENCE_YOY_DELTA,AGE_X_CREATION_VOLUME_RATIO_YOY_DELTA,AGE_X_CREATION_TAX_YOY_DELTA,AGE_X_LEVERAGE_USG_DELTA_YOY_DELTA,AGE_X_LEVERAGE_TS_DELTA_YOY_DELTA,AGE_X_RS_PRESSURE_RESILIENCE_YOY_DELTA,AGE_X_RS_PRESSURE_APPETITE_YOY_DELTA,AGE_X_EFG_ISO_WEIGHTED_YOY_DELTA,AGE_X_RS_LATE_CLOCK_PRESSURE_RESILIENCE_YOY_DELTA,AGE_X_RS_RIM_APPETITE_YOY_DELTA,PREV_CREATION_VOLUME_RATIO,PREV_CREATION_TAX,PREV_LEVERAGE_USG_DELTA,PREV_LEVERAGE_TS_DELTA,PREV_RS_PRESSURE_RESILIENCE,PREV_RS_PRESSURE_APPETITE,PREV_RS_RIM_APPETITE,PREV_EFG_ISO_WEIGHTED,PREV_RS_LATE_CLOCK_PRESSURE_RESILIENCE,AGE_X_CREATION_VOLUME_RATIO_YOY_DELTA,AGE_X_CREATION_TAX_YOY_DELTA,AGE_X_LEVERAGE_USG_DELTA_YOY_DELTA,AGE_X_LEVERAGE_TS_DELTA_YOY_DELTA,AGE_X_RS_PRESSURE_RESILIENCE_YOY_DELTA,AGE_X_RS_PRESSURE_APPETITE_YOY_DELTA,AGE_X_EFG_ISO_WEIGHTED_YOY_DELTA,AGE_X_RS_LATE_CLOCK_PRESSURE_RESILIENCE_YOY_DELTA,AGE_X_RS_RIM_APPETITE_YOY_DELTA
708,Kevin Garnett,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Kobe Bryant,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Tim Duncan,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Vince Carter,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Vince Carter,2016-17,-0.04117984287063872,0.0008249999999999924,-0.019999999999999997,-0.3449999999999999,-0.14800000000000002,-0.03749086734161361,,0.045824999999999894,-0.19921052631578962,-1.6471937148255489,0.032999999999999696,-0.7999999999999998,-13.799999999999997,-5.920000000000001,-1.4996346936645444,1.8329999999999957,-7.968421052631585,,0.2625820568927789,-0.1634083333333333,-0.0279999999999999,0.2149999999999999,0.536,0.4195804195804196,,0.3615916666666667,0.6728947368421053,-1.6471937148255489,0.032999999999999696,-0.7999999999999998,-13.799999999999997,-5.920000000000001,-1.4996346936645444,1.8329999999999957,-7.968421052631585,
1713,Vince Carter,2017-18,-0.03510084415912659,0.029436274509803906,-0.017000000000000008,-0.393,0.07400000000000001,-0.04600707801200188,,0.0034362745098039937,-0.1506152450090743,-1.4391346105241902,1.20688725490196,-0.6970000000000003,-16.113,3.0340000000000003,-1.886290198492077,0.14088725490196374,-6.175225045372047,,0.2214022140221402,-0.1625833333333333,-0.0479999999999999,-0.13,0.388,0.382089552238806,,0.4074166666666666,0.4736842105263157,-1.4391346105241902,1.20688725490196,-0.6970000000000003,-16.113,3.0340000000000003,-1.886290198492077,0.14088725490196374,-6.175225045372047,
1713,Vince Carter,2018-19,0.0021044272384355966,0.0026635423400130087,0.057999999999999906,0.45900000000000013,0.06,-0.07796559110992102,,0.052663542340012914,0.41911285266457676,0.08838594401429506,0.11186877828054637,2.435999999999996,19.278000000000006,2.52,-3.274554826616683,2.211868778280542,17.602739811912222,,0.1863013698630136,-0.1331470588235294,-0.0649999999999999,-0.523,0.462,0.3360824742268041,,0.4108529411764706,0.3230689655172414,0.08838594401429506,0.11186877828054637,2.435999999999996,19.278000000000006,2.52,-3.274554826616683,2.211868778280542,17.602739811912222,
1713,Vince Carter,2019-20,0.030423719437990993,0.19289049322770238,-0.036,0.1029999999999999,-0.02200000000000002,0.025906785522170128,,0.025890493227702482,-0.45322181818181817,1.3082199358336126,8.294291208791202,-1.5479999999999998,4.428999999999996,-0.9460000000000008,1.1139917774533155,1.1132912087912068,-19.488538181818182,,0.1884057971014492,-0.1304835164835164,-0.007,-0.0639999999999999,0.522,0.2581168831168831,,0.4635164835164835,0.7421818181818182,1.3082199358336126,8.294291208791202,-1.5479999999999998,4.428999999999996,-0.9460000000000008,1.1139917774533155,1.1132912087912068,-19.488538181818182,
1717,Dirk Nowitzki,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Dirk Nowitzki,2016-17,-0.0279015647359655,-0.251,-0.06,-0.013,0.0010000000000000009,-0.07754282404036289,,-0.26,-0.19762063069908814,-1.0881610247026545,-9.789,-2.34,-0.507,0.039000000000000035,-3.0241701375741528,-10.14,-7.707204597264438,,0.091491308325709,0.006,0.03,0.002,0.51,0.5107962213225371,,0.533,0.4582589285714285,-1.0881610247026545,-9.789,-2.34,-0.507,0.039000000000000035,-3.0241701375741528,-10.14,-7.707204597264438,
