season,player_name,player_id,reg_ts_pct,po_ts_pct,ts_delta,spatial_diversity,playtype_diversity,method_resilience,overall_resilience,data_quality,analysis_timestamp
2017-18,Ben Simmons,1627732,0.557,,,,,,,0.25,2025-11-17T14:24:30.708637
2018-19,Ben Simmons,1627732,0.582,,,,,,,0.25,2025-11-17T14:24:30.708641
2017-18,Joel Embiid,203954,,,,,,,,0.0,2025-11-17T14:24:30.722819
2018-19,Joel Embiid,203954,,,,,,,,0.0,2025-11-17T14:24:30.722822
2019-20,Joel Embiid,203954,,,,,,,,0.0,2025-11-17T14:24:30.722823
2017-18,Giannis Antetokounmpo,203507,,,,,,,,0.0,2025-11-17T14:24:30.739651
2018-19,Giannis Antetokounmpo,203507,,,,,,,,0.0,2025-11-17T14:24:30.739655
2019-20,Giannis Antetokounmpo,203507,,,,,,,,0.0,2025-11-17T14:24:30.739656
2016-17,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769632
2017-18,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769650
2018-19,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769657
2019-20,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769659
2020-21,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769661
2021-22,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769664
2022-23,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769666
2023-24,James Harden,201935,,,,,,,,0.0,2025-11-17T14:24:30.769667
